Wellname		: 3-BRSA-			1132-RJS
Date		: 04/05/2			018 15:36:55
					
DEPTH	AF10	AF20	AF30	AF60	AF90
M	ohm,m	ohm,m	ohm,m	ohm,m	ohm,m
5259,6289	1950	1049,6	383,9	198,9	144,6
5259,7813	1950	1049,5	383,8	199	144,5
5259,9336	1950	1048,6	383,7	199,1	144,4
5260,0859	1950	1046,7	383,3	199,3	144,3
5260,2383	1950	1044,2	382,8	199,4	144,2
5260,3906	1950	1040,7	382,2	199,5	143,9
5260,543	1950	1037,9	381,6	199,6	143,7
5260,6958	1950	1034,7	380,7	199,8	143,4
5260,8481	1950	1031,9	379,9	200,1	142,9
5261,0005	1950	1029,1	378,9	200,5	142,4
5261,1528	1950	1027,6	377,8	200,5	141,6
5261,3052	1950	1025	376,3	200,7	140,5
5261,4575	1950	1019,6	373,9	200,1	138,9
5261,6099	1950	1013,6	371,4	199,2	136,8
5261,7622	1950	1007,3	368,5	198	134,2
5261,915	1950	997,6	365,7	196,4	131
5262,0674	1950	980,3	361,5	195,1	127,4
5262,2197	1950	956,1	355,6	193,7	123,6
5262,3721	1950	931,4	349,8	191,6	120,2
5262,5244	1950	903,4	344,4	189,9	118
5262,6768	1950	868,5	343,7	190,6	118,3
5262,8291	1950	815,2	358	195,5	122,3
5262,9814	1950	753,4	366,4	200,8	131,1
5263,1338	1950	650,1	378,7	206,4	144,4
5263,2866	1950	537,3	400,9	217,4	162,5
5263,439	1950	441,1	437,4	231,4	204
5263,5913	1950	363,3	478,9	247,6	232,6
5263,7437	1950	293,7	481,1	256,9	263,7
5263,896	1950	251,7	459,1	263,6	287,5
5264,0483	1950	212,9	399,5	270,6	273,9
5264,2007	1950	216,1	323	268,7	239,9
5264,353	1950	204,7	282,1	271,9	222,4
5264,5054	1950	168,5	212,7	229,1	160,9
5264,6582	1950	137	145,9	161,3	117,6
5264,8105	1950	112,8	106,5	119,5	91,91
5264,9629	1950	100,3	85,89	95,45	73,83
5265,1152	1950	91,88	68,66	76,31	63,8
5265,2676	1950	98,22	67,17	80,15	70,13
5265,4199	1950	114,2	69,99	85,96	80,44
5265,5723	1950	119,2	71,34	96,46	88,41
5265,7246	1950	123,3	84,25	119	133,2
5265,8774	1950	117,3	115,8	156,3	178,4
5266,0298	1950	110,7	164,7	206,8	265,1
5266,1821	1950	126,8	220	244,9	353,3
5266,3345	1950	154,3	260,2	244,6	383,5
5266,4868	1950	234,1	273	263,3	411,1
5266,6392	1950	175,1	240,3	169,8	224,8
5266,7915	1950	141,5	143,3	144,3	208,1
5266,9438	1950	116,5	116,3	172,4	200,4
5267,0962	1950	74,34	82,56	181	167,4
5267,249	1950	68,36	84,93	268,9	182,8
5267,4014	1950	78,96	121	383,3	233,6
5267,5537	1950	90,84	173,1	598,1	335
5267,7061	1950	108,4	240,7	941,5	468
5267,8584	1950	175,5	398,8	1427,3	727,6
5268,0107	1950	269,5	1107,8	1852	1460,2
5268,1631	1950	416,4	1950	1950	1950
5268,3154	1716,1	639,8	1950	1950	1950
5268,4678	1460,6	867,1	1950	1891,5	1336
5268,6206	1342,8	933	1950	1560,3	1005,9
5268,7729	1213,4	828,5	1905,7	1056,3	700,6
5268,9253	1144,5	685,6	1687	753,6	625,3
5269,0776	1246,9	591	1602,5	602,9	581,6
5269,23	1281,1	560,9	1663,4	755,2	661,2
5269,3823	1289,8	569,4	1786,8	1028,4	792,2
5269,5347	1306,9	608,8	1854,4	1178,3	991,5
5269,687	1370,1	653,3	1934,9	1548,9	1287,1
5269,8394	1318,9	667,4	1950	1768,5	1596,7
5269,9922	1145,6	619,5	1950	1860,9	1713,1
5270,1445	903,8	518,4	1950	1868	1633,5
5270,2969	678,5	410	1950	1725,7	1330,9
5270,4492	516,6	327,6	1950	1707,9	1549,3
5270,6016	418	278,5	1950	1783,5	1669,8
5270,7539	368,6	259,6	1950	1741,1	1681,5
5270,9063	357,7	269	1950	1647,1	1664,8
5271,0586	382,8	311,5	1950	1505,2	1605,2
5271,2114	449,3	400,4	1950	1532,1	1536
5271,3638	571,5	558,8	1950	1256,6	1281,5
5271,5161	768,8	805,1	1950	1076,4	1309,1
5271,6685	1050,8	1102,3	1950	1280,1	1387,6
5271,8208	1383,6	1329,3	1950	1299,7	1389,3
5271,9731	1681,6	1409	1950	1476	1390,5
5272,1255	1874	1401	1950	1585,5	1523,6
5272,2778	1950	1392,2	1950	1672,2	1704,2
5272,4302	1950	1421,1	1950	1791,6	1770,1
5272,583	1950	1478,4	1950	1934,7	1919,2
5272,7354	1950	1506,6	1950	1950	1950
5272,8877	1950	1428,7	1950	1950	1950
5273,04	1950	1220,6	1950	1950	1950
5273,1924	1950	949,9	1920	1894,5	1882,7
5273,3447	1950	705,5	1550,2	1419,9	1373
5273,4971	1950	544,4	1020,4	873	852,5
5273,6494	1320,5	357,5	602,1	509,2	503,9
5273,8018	755,8	241,3	393,7	329,1	327,3
